דפוס,סוג דפוס ,יצירה,קוד יצירה,place, year,digital editions,NLI-ID,NLI-Scanned text,Sefaria JSON Name,Sefaria JSON - LINK
"ילקוט שמעוני, קרקוב שנ""ה-שנ""ו",דפוס חשוב,ילקוט שמעוני,1:1:1.0,Krakow,1595,,,,,
"ילקוט שמעוני, לובלין ת""א-ת""ג",,ילקוט שמעוני,1:1:1.0,Lublin,1641,,,,,
"ילקוט שמעוני על פי כתב יד אוכספורד עם שינויי נוסחאות מכתבי יד ודפוסים ראשונים ציוני מקורות והערות, ירושלים תשל""ג-תשנ""ט",כפולה,ילקוט שמעוני,1:1:1.0,Jerusalem,1973,,,,,
"אגדת אסתר, מהד' ש' בובר, תרנ""ז",,מדרש הגדול,1.1-5:3:1.0,Krakow,1897,,,,,
"מדרש הגדול בראשית, מהד' רש""ז שכטר, תרס""ב",,מדרש הגדול,1.1-5:3:1.0,Cambridge,1902,,,,,
"מדרש הגדול שמות, מהד' רד""צ הופמן, תרע""ד-תרפ""א",,מדרש הגדול,1.1-5:3:1.0,Berlin,1914,,,,,
"מדרש הגדול דברים, מהד' רמ""ז חסידא, תרצ""ד-תש""ב",,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1934,,,,,
"ישראל בן שלמה מצובירה, ספר המרגלית, תשל""ו.",,מדרש הגדול,1.1-5:3:1.0,Jerusalem,1976,,,,,
"ילקוט המכירי לישעיהו, מהד' י""ז כהנא-שפירא, ברלין תרנ""ג",כפולה,ילקוט המכירי,לא נמצא,Berlin,1902,,,,,
"ילקוט המכירי לתהילים, מהד' ש' בובר, ברדיטשוב תר""ס",כפולה,ילקוט המכירי,לא נמצא,Berdychiv,1900,,,,,
"ילקוט המכירי למשלי, מהד' א""ה גרינהוט, ירושלים תרס""ב",,ילקוט המכירי,לא נמצא,Jerusalem,1902,,,,,
"א' גרינהוט, ספר הליקוטים, כרך ו, חלק א, ירושלים תרס""ג",,ילקוט המכירי,לא נמצא,Jerusalem,1903,,,,,
"ילקוט המכירי לתרי עשר, מהד' גרינהוף, לונדון 1909-1913 (דפוס צילום ירושלים תשכ""ז)",כפולה,ילקוט המכירי,לא נמצא,Jerusalem,1909,,,,,
"ילקוט המכירי למשלי, מהד' י""מ בדאהב, ירושלים תרפ""ז",כפולה,ילקוט המכירי,לא נמצא,Jerusalem,1927,,,,,
"ש' שפיגל, 'קטע חדש מילקוט המכירי למשלי', סידרא א, תשמ""ה, עמ' 91-130",,ילקוט המכירי,לא נמצא,Ramat Gan,1985,,,,,
"A.W. Greenup, ‘A Fragment of the Yalkut of R. Machir bar Abba Mari on Hosea’, JQR XV, 1924-1925, pp. 146-212",,ילקוט המכירי,לא נמצא,Philadelphia,1924,,,,,
"מדרש שמואל, קושטא רע""ז.",דפוס חשוב,מדרש שמואל,1.8:1:1.0,Constantinople,1517,,,,,
"מדרש תהלים רבתא עם מדרש שמואל רבתא, ונציה ש""י.",דפוס חשוב,מדרש שמואל,1.8:1:1.0,Venice,1550,,,,,
