Midrash_MSS ID,קבוצת תעדוף,תעדוף MiDRASH,מספר מערכת,הערות לתעתוק MiDRASH,כינוי כתב היד בכתיב,חיבורים - טור זמני,הערות חיבורים,הערות,זמינות תעתוק,מקור תעתוק,הערה לזמינות תעתוק,הערה עיונית,קישור לכתב היד בספריית המקור,לטיפול במחקר משלים צדקני
55,מדרשי רבה,1,990000552480205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. Add. fol. 3","במדבר רבה, בראשית רבה, שמות רבה, ויקרא רבה, דברים רבה",רשומה מוכפלת. נכתב גם לעיל שורה 5,"כתיב:מפרשה ט""ו (בהעולתך) ואילך משתמש בלשון ""ילמדנו רבינו"" כמו בתנחומא ולא בלשון ""הלכה"" כמו במדרש רבה הנדפס

",,,,,,
56,מדרשי רבה,1,990000851020205171,,"ספריית אנג'ליקה, רומא, Ms. or 61","תנחומא הנדפס - קושטא, במדבר רבה, דברים רבה",,איזה תנחומא?,,,,,,"כפילות ברשימה, לתקן"
57,מדרשי רבה,1,990001265440205171,,"ספריית מדינת בווריה, מינכן, Cod.hebr. 97","בראשית רבה, במדבר רבה",,"רשומה מוכפלת, להלן בשורה 187",,,,,,
58,מדרשי רבה,1,990000726560205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2851","שיר השירים זוטא, קהלת זוטא, מדרש משלי",,,,,,,,
59,מדרשי רבה,1,990001950320205171,,"ספריית בית המדרש ללימודי יהדות, ניו יורק, ניו יורק, Ms. 5043","שיר השירים זוטא, קהלת זוטא, מדרש משלי",,,,,,,,
60,מדרשי רבה,1,990000921090205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. 225",קהלת רבה,,בקובץ מדרשים נוספים ופירוש על התורה,,,,,,
61,מדרשי רבה,1,990001513670205171,,"הספרייה הלאומית של רוסיה, סנקט פטרבורג, Ms. EVR I 241",ויקרא רבה,על פי קטלוג NLI כולל גם קטעי בראשית רבה ושוחר טוב,,,,,,,
62,ילקוטים לא מוכרים,1,990000687920205171,,"ספריית פלטינה, פרמה, Cod. Parm. 2295","מדרש שמואל, אותיות דרבי עקיבא, מדרש אבא גוריון (אסתר), מדרש יונה, פרקי דרבי אליעזר",,בקובץ חיבורים נוספים,,,,,,
63,ספרות תנחומא-ילמדנו,1,990000993260205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. Add. Oct. 35",אגדת בראשית,,,,,,,,
64,ילקוטים,1,990001923520205171,,"הספרייה הלאומית והאוניברסיטאית של שטרסבורג, שטרסבורג, Ms. 4058","אנתולוגיות לא מוכרות, מדרש הגדול","מגוון כתבי יד בכרך אחד, ראוי למחקר",,,,,,,
65,ילקוטים לא מוכרים,1,990000920510205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Mich. 410",אנתולוגיות לא מוכרות,,,,,,,,
66,ילקוטים לא מוכרים,1,990001169200205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. Add. Qu. 128","אנתולוגיות לא מוכרות, פסיקתא דרב כהנא, דרך ארץ רבה, דרך ארץ זוטא, ברייתא דר' אלעזר בן יוסי הגלילי","ספר טוביה, חומרים קרובים לבראשית רבתי, מקבץ אגדות לתשעה באב ועוד",,,,,,,
67,ילקוטים לא מוכרים,1,990000612270205171,,"הספרייה הבריטית, לונדון, Or. 1389","אנתולוגיות לא מוכרות, אבות דרבי נתן א","מביא מהתלמוד הבבלי והירושלמי, ממסכתות קטנות, ממדרשי רבה, וכן הרבה מאבות דר' נתן, מדרש תהלים, תנחומא, ערוך ו""פרחון"" מביא גם ממקורות אחרים בין השאר: ""בבריית של שמואל הרמתי"" (20ב), וכן ""תרגם רב יוסף בסוף ספר רות"" (32א), ""בשאילתות דרב אחאי גאון"" (53ב), ""בספר חפץ"" (74ב), ""פסיקתי זוטא"" (97ב, 112ב), ""ובתשובי רב היי'"" (114א), ""מגילת סתרים"" לר' נסים בן יעקב (126ב)

",,,,,,,
69,פסיקתא ומדרשי נך,1,990001394430205171,,"ספריית אוניברסיטת קמברידג', קמברידג', Ms. Add. 1497",פסיקתא דרב כהנא,,,,,,,,
70,פסיקתא ומדרשי נך,1,997012735568305171,,"הספרייה הלאומית, ירושלים, Ms. Heb. 4°9994",פסיקתא דרב כהנא,דרשות יא - טז בלבד,,,,,,,
71,פסיקתא ומדרשי נך,,990001296560205171,,"הספרייה הלאומית של צרפת, פריס, Ms. hebr. 710",פרקי דרבי אליעזר,,,,,,,,
72,ילקוטים לא מוכרים,1,990000993320205171,,"ספריות הבודליאנה, אוניברסיטת אוקספורד, אוקספורד, Ms. Opp. Add. Qu. 127",,,,,,,,,
73,ילקוטים,1,990000430880205171,,"הספרייה הלאומית, ירושלים, Ms. Heb. 8°5557",פתרון תורה,לך לך - וירא בלבד,"מדובר ברשומת בן, אך רשומת האב שאליה יש קישור בקטלוג NLI היא רשומת בן נוספת של חיבור נוסף שנמצא באותו הקובץ. צריך לברר מה מספר המערכת של הקובץ כולו.",,,,,,
74,ילקוטים,2,990000454380205171,,"הספרייה הלאומית, ירושלים, Ms. Heb. 2°2492","אנתולוגיות לא מוכרות, דברים רבה, איכה רבה","קיצורים ומובאות ממדרשי מגילות, לקח טוב, ילקוט שמעוני. חומרים רבים אחרים בעיקר בקבלה. קיצור איכה רבה","על פי מנדל, חומרי איכה רבה בכתב יד זה הם העתקות מדפוס, יש לבדוק את היתר. יש לבדוק גם את מספר המערכת, לכאורה הקובץ מקושר לרשומת אב, אך זו מציינת פריט אחר שהקשר שלו לקובץ אינו ברור.",,,,,,
